,title,keywords,id,genres,cast,director,soup
25,Titanic,shipwreck iceberg ship panic titanic,597,Drama Romance Thriller,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,titan shipwreck iceberg ship panic titan 597 drama romanc thriller kate winslet leonardo dicaprio franc fisher billi zane kathi bate jame cameron
26,Captain America: Civil War,civil war war marvel comic sequel superhero,271110,Adventure Action Science Fiction,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,captain america: civil war civil war war marvel comic sequel superhero 271110 adventur action scienc fiction chri evan robert downey jr. scarlett johansson sebastian stan anthoni macki anthoni russo
27,Battleship,fight u.s. navy mind reading hong kong soccer,44833,Thriller Action Adventure Science Fiction,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,battleship fight u.s. navi mind read hong kong soccer 44833 thriller action adventur scienc fiction taylor kitsch alexand skarsg\u00e5rd rihanna brooklyn decker tadanobu asano peter berg
28,Jurassic World,monster dna tyrannosaurus rex velociraptor island,135397,Action Adventure Science Fiction Thriller,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,jurass world monster dna tyrannosauru rex velociraptor island 135397 action adventur scienc fiction thriller chri pratt bryce dalla howard irrfan khan vincent d'onofrio nick robinson colin trevorrow
29,Skyfall,spy secret agent sociopath killer art gallery,37724,Action Adventure Thriller,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,skyfal spi secret agent sociopath killer art galleri 37724 action adventur thriller daniel craig judi dench javier bardem ralph fienn naomi harri sam mend
30,Spider-Man 2,dual identity love of one's life pizza boy marvel comic sequel,558,Action Adventure Fantasy,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,spider-man 2 dual ident love of one' life pizza boy marvel comic sequel 558 action adventur fantasi tobey maguir kirsten dunst jame franco alfr molina rosemari harri sam raimi
31,Iron Man 3,terrorist war on terror tennessee malibu marvel comic,68721,Action Adventure Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,iron man 3 terrorist war on terror tennesse malibu marvel comic 68721 action adventur scienc fiction robert downey jr. gwyneth paltrow don cheadl guy pearc rebecca hall shane black
32,Alice in Wonderland,based on novel fictional place queen fantasy alice in wonderland,12155,Family Fantasy Adventure,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,alic in wonderland base on novel fiction place queen fantasi alic in wonderland 12155 famili fantasi adventur mia wasikowska johnni depp ann hathaway helena bonham carter crispin glover tim burton
33,X-Men: The Last Stand,mutant marvel comic based on comic book superhuman beast,36668,Adventure Action Science Fiction Thriller,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,x-men: the last stand mutant marvel comic base on comic book superhuman beast 36668 adventur action scienc fiction thriller hugh jackman hall berri ian mckellen patrick stewart famk janssen brett ratner
34,Monsters University,monster dormitory games animation best friend,62211,Animation Family,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,monster univers monster dormitori game anim best friend 62211 anim famili billi crystal john goodman steve buscemi helen mirren noah johnston dan scanlon
35,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact,8373,Science Fiction Action Adventure,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,transformers: reveng of the fallen egypt sun chao symbol artifact 8373 scienc fiction action adventur shia labeouf megan fox josh duhamel rainn wilson tyres gibson michael bay
36,Transformers: Age of Extinction,sequel alien transformers giant robot robot,91314,Science Fiction Action Adventure,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,transformers: age of extinct sequel alien transform giant robot robot 91314 scienc fiction action adventur mark wahlberg stanley tucci kelsey grammer nicola peltz jack reynor michael bay
37,Oz: The Great and Powerful,circus witch magic hope illusion,68728,Fantasy Adventure Family,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,oz: the great and power circu witch magic hope illus 68728 fantasi adventur famili jame franco mila kuni rachel weisz michel william zach braff sam raimi
38,The Amazing Spider-Man 2,obsession marvel comic sequel based on comic book electrocution,102382,Action Adventure Fantasy,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,the amaz spider-man 2 obsess marvel comic sequel base on comic book electrocut 102382 action adventur fantasi andrew garfield emma stone jami foxx dane dehaan campbel scott marc webb
39,TRON: Legacy,artificial intelligence secret identity computer program dystopia computer,20526,Adventure Action Science Fiction,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,tron: legaci artifici intellig secret ident comput program dystopia comput 20526 adventur action scienc fiction garrett hedlund jeff bridg olivia wild bruce boxleitn yaya dacosta joseph kosinski
40,Cars 2,car race sequel comedy anthropomorphism best friend,49013,Animation Family Adventure Comedy,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,car 2 car race sequel comedi anthropomorph best friend 49013 anim famili adventur comedi owen wilson larri the cabl guy michael cain emili mortim john turturro john lasset
41,Green Lantern,dc comics transformation superhero alien alien infection,44912,Adventure Action Thriller Science Fiction,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,green lantern dc comic transform superhero alien alien infect 44912 adventur action thriller scienc fiction ryan reynold blake live peter sarsgaard tim robbin mark strong martin campbel
42,Toy Story 3,hostage college toy barbie animation,10193,Animation Family Comedy,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,toy stori 3 hostag colleg toy barbi anim 10193 anim famili comedi tom hank tim allen ned beatti joan cusack michael keaton lee unkrich
43,Terminator Salvation,saving the world artificial intelligence prophecy san francisco cyborg,534,Action Science Fiction Thriller,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,termin salvat save the world artifici intellig propheci san francisco cyborg 534 action scienc fiction thriller christian bale sam worthington anton yelchin moon bloodgood bryce dalla howard mcg
44,Furious 7,car race speed revenge suspense car,168259,Action,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,furiou 7 car race speed reveng suspens car 168259 action vin diesel paul walker dwayn johnson michel rodriguez tyres gibson jame wan
45,World War Z,dystopia apocalypse zombie nuclear weapons multiple perspectives,72190,Action Drama Horror Science Fiction Thriller,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,world war z dystopia apocalyps zombi nuclear weapon multipl perspect 72190 action drama horror scienc fiction thriller brad pitt mireil eno abigail hargrov sterl jerin jame badg dale marc forster
46,X-Men: Days of Future Past,1970s mutant time travel marvel comic based on comic book,127585,Action Adventure Fantasy Science Fiction,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,x-men: day of futur past 1970 mutant time travel marvel comic base on comic book 127585 action adventur fantasi scienc fiction hugh jackman jame mcavoy michael fassbend jennif lawrenc hall berri bryan singer
47,Star Trek Into Darkness,spacecraft friendship sequel futuristic space,54138,Action Adventure Science Fiction,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,star trek into dark spacecraft friendship sequel futurist space 54138 action adventur scienc fiction chri pine zachari quinto zoe saldana karl urban simon pegg j.j. abram
48,Jack the Giant Slayer,based on fairy tale giant,81005,Action Family Fantasy,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,jack the giant slayer base on fairi tale giant 81005 action famili fantasi nichola hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane bryan singer
49,The Great Gatsby,based on novel infidelity obsession hope 3d,64682,Drama Romance,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,the great gatsbi base on novel infidel obsess hope 3d 64682 drama romanc leonardo dicaprio tobey maguir carey mulligan joel edgerton elizabeth debicki baz luhrmann
50,Prince of Persia: The Sands of Time,persia sandstorm brother against brother armageddon regent,9543,Adventure Fantasy Action Romance,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,princ of persia: the sand of time persia sandstorm brother against brother armageddon regent 9543 adventur fantasi action romanc jake gyllenha gemma arterton ben kingsley alfr molina steve toussaint mike newel
51,Pacific Rim,dystopia giant robot giant monster apocalypse imax,68726,Action Science Fiction Adventure,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,pacif rim dystopia giant robot giant monster apocalyps imax 68726 action scienc fiction adventur idri elba charli hunnam charli day ron perlman burn gorman guillermo del toro
52,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alien planet,38356,Action Science Fiction Adventure,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,transformers: dark of the moon moon spacecraft traitor bodyguard alien planet 38356 action scienc fiction adventur shia labeouf john malkovich ken jeong franc mcdormand josh duhamel michael bay
53,Indiana Jones and the Kingdom of the Crystal Skull,saving the world riddle whip treasure mexico city,217,Adventure Action,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,indiana jone and the kingdom of the crystal skull save the world riddl whip treasur mexico citi 217 adventur action harrison ford cate blanchett shia labeouf ray winston karen allen steven spielberg
54,The Good Dinosaur,tyrannosaurus rex friends alternate history dinosaur fear,105864,Adventure Animation Family,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,the good dinosaur tyrannosauru rex friend altern histori dinosaur fear 105864 adventur anim famili raymond ochoa jack bright jeffrey wright franc mcdormand maleah nipay-padilla peter sohn
55,Brave,scotland rebel bravery kingdom archer,62177,Animation Adventure Comedy Family Action,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,brave scotland rebel braveri kingdom archer 62177 anim adventur comedi famili action kelli macdonald juli walter billi connolli emma thompson kevin mckidd brenda chapman
56,Star Trek Beyond,sequel stranded hatred space opera,188927,Action Adventure Science Fiction,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,star trek beyond sequel strand hatr space opera 188927 action adventur scienc fiction chri pine zachari quinto karl urban simon pegg zoe saldana justin lin
57,WALL·E,romantic comedy,10681,Animation Family,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,wall· romant comedi 10681 anim famili ben burtt elissa knight jeff garlin fred willard john ratzenberg andrew stanton
58,Rush Hour 3,ambassador,5174,Action Comedy Crime Thriller,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,rush hour 3 ambassador 5174 action comedi crime thriller chri tucker jacki chan hiroyuki sanada max von sydow yvan attal brett ratner
59,2012,civilization natural disaster end of the world disaster apocalypse,14161,Action Adventure Science Fiction,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,2012 civil natur disast end of the world disast apocalyps 14161 action adventur scienc fiction john cusack amanda peet chiwetel ejiofor thandi newton oliv platt roland emmerich
60,A Christmas Carol,holiday based on novel victorian england money christmas eve,17979,Animation Drama,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,a christma carol holiday base on novel victorian england money christma eve 17979 anim drama gari oldman jim carrey steve valentin daryl sabara sage ryan robert zemecki
61,Jupiter Ascending,jupiter space woman director 3d interspecies romance,76757,Science Fiction Fantasy Action Adventure,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,jupit ascend jupit space woman director 3d interspeci romanc 76757 scienc fiction fantasi action adventur mila kuni chan tatum sean bean eddi redmayn dougla booth lilli wachowski
62,The Legend of Tarzan,africa feral child tarzan jungle animal attack,258489,Action Adventure,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,the legend of tarzan africa feral child tarzan jungl anim attack 258489 action adventur alexand skarsg\u00e5rd margot robbi christoph waltz samuel l. jackson djimon hounsou david yate
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world witch based on novel brother sister relationship self sacrifice,411,Adventure Family Fantasy,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,"the chronicl of narnia: the lion, the witch and the wardrob save the world witch base on novel brother sister relationship self sacrific 411 adventur famili fantasi william moseley anna popplewel skandar keyn georgi henley liam neeson andrew adamson"
64,X-Men: Apocalypse,mutant supernatural powers marvel comic superhero based on comic book,246655,Science Fiction,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,x-men: apocalyps mutant supernatur power marvel comic superhero base on comic book 246655 scienc fiction jame mcavoy michael fassbend jennif lawrenc nichola hoult oscar isaac bryan singer
65,The Dark Knight,dc comics crime fighter secret identity scarecrow sadism,155,Drama Action Crime Thriller,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,the dark knight dc comic crime fighter secret ident scarecrow sadism 155 drama action crime thriller christian bale heath ledger aaron eckhart michael cain maggi gyllenha christoph nolan
66,Up,age difference central and south america balloon animation floating in the air,14160,Animation Comedy Family Adventure,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,up age differ central and south america balloon anim float in the air 14160 anim comedi famili adventur ed asner christoph plummer jordan nagai bob peterson delroy lindo pete docter
67,Monsters vs Aliens,alien giant robot duringcreditsstinger,15512,Animation Family Adventure Science Fiction,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,monster vs alien alien giant robot duringcreditssting 15512 anim famili adventur scienc fiction seth rogen rees witherspoon hugh lauri paul rudd kiefer sutherland conrad vernon
68,Iron Man,middle east arms dealer malibu marvel comic superhero,1726,Action Science Fiction Adventure,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,iron man middl east arm dealer malibu marvel comic superhero 1726 action scienc fiction adventur robert downey jr. terrenc howard jeff bridg shaun toub gwyneth paltrow jon favreau
69,Hugo,library clock film director key toy,44826,Adventure Drama Family,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,hugo librari clock film director key toy 44826 adventur drama famili ben kingsley sacha baron cohen asa butterfield chlo\u00eb grace moretz ray winston martin scorses
70,Wild Wild West,steampunk based on tv series steam locomotive drag,8487,Action Adventure Comedy Science Fiction Western,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,wild wild west steampunk base on tv seri steam locomot drag 8487 action adventur comedi scienc fiction western will smith kevin kline kenneth branagh salma hayek m. emmet walsh barri sonnenfeld
71,The Mummy: Tomb of the Dragon Emperor,,1735,Adventure Action Fantasy,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,the mummy: tomb of the dragon emperor nan 1735 adventur action fantasi brendan fraser jet li john hannah maria bello luke ford rob cohen
72,Suicide Squad,dc comics shared universe anti hero secret mission villain,297761,Action Adventure Crime Fantasy Science Fiction,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,suicid squad dc comic share univers anti hero secret mission villain 297761 action adventur crime fantasi scienc fiction will smith margot robbi joel kinnaman viola davi jare leto david ayer
73,Evan Almighty,father son relationship daily life married couple support father,2698,Fantasy Comedy Family,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,evan almighti father son relationship daili life marri coupl support father 2698 fantasi comedi famili steve carel lauren graham john goodman jimmi bennett john michael higgin tom shadyac
74,Edge of Tomorrow,deja vu time warp restart dystopia war,137113,Action Science Fiction,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,edg of tomorrow deja vu time warp restart dystopia war 137113 action scienc fiction tom cruis emili blunt brendan gleeson bill paxton jona armstrong doug liman
75,Waterworld,ocean tattoo mutant water dystopia,9804,Adventure Action,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,waterworld ocean tattoo mutant water dystopia 9804 adventur action kevin costner chaim girafi rick avil r. d. call zitto kazann kevin reynold
76,G.I. Joe: The Rise of Cobra,terrorist secret hostage technology warhead,14869,Adventure Action Thriller Science Fiction,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,g.i. joe: the rise of cobra terrorist secret hostag technolog warhead 14869 adventur action thriller scienc fiction denni quaid chan tatum marlon wayan sienna miller joseph gordon-levitt stephen sommer
77,Inside Out,dream cartoon imaginary friend animation family,150540,Drama Comedy Animation Family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,insid out dream cartoon imaginari friend anim famili 150540 drama comedi anim famili ami poehler phylli smith richard kind bill hader lewi black pete docter
78,The Jungle Book,based on novel snake wolf elephant tiger,278927,Family Adventure Drama Fantasy,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,the jungl book base on novel snake wolf eleph tiger 278927 famili adventur drama fantasi neel sethi bill murray ben kingsley idri elba scarlett johansson jon favreau
79,Iron Man 2,malibu marvel comic superhero based on comic book revenge,10138,Adventure Action Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,iron man 2 malibu marvel comic superhero base on comic book reveng 10138 adventur action scienc fiction robert downey jr. gwyneth paltrow don cheadl scarlett johansson mickey rourk jon favreau
80,Snow White and the Huntsman,queen magic fairy tale immortality forest,58595,Adventure Fantasy Drama,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,snow white and the huntsman queen magic fairi tale immort forest 58595 adventur fantasi drama kristen stewart charliz theron chri hemsworth sam claflin ian mcshane rupert sander
81,Maleficent,fairy tale villain sleeping beauty dark fantasy based on fairy tale,102651,Fantasy Adventure Action Family Romance,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,malefic fairi tale villain sleep beauti dark fantasi base on fairi tale 102651 fantasi adventur action famili romanc angelina joli ell fan sharlto copley sam riley juno templ robert stromberg
82,Dawn of the Planet of the Apes,leader colony post-apocalyptic dystopia forest,119450,Science Fiction Action Drama Thriller,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,dawn of the planet of the ape leader coloni post-apocalypt dystopia forest 119450 scienc fiction action drama thriller andi serki jason clark gari oldman keri russel tobi kebbel matt reev
83,The Lovers,,79698,Action Adventure Science Fiction Romance,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9,the lover nan 79698 action adventur scienc fiction romanc josh hartnett simon kessel tamsin egerton alic englert bipasha basu roland joff\u00e9
84,47 Ronin,japan suicide samurai based on true story samurai sword,64686,Drama Action Adventure Fantasy,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch,47 ronin japan suicid samurai base on true stori samurai sword 64686 drama action adventur fantasi keanu reev hiroyuki sanada kou shibasaki tadanobu asano min tanaka carl rinsch
